county,office,district,party,candidate,votes
Camden,United States Senator,,Democratic,Trudy Busch Valentine,4384
Camden,United States Senator,,Libertarian,Jonathan Dine,331
Camden,United States Senator,,Constitution,Paul Venable,193
Camden,United States Senator,,Write-In,Nathan V. Mooney,0
Camden,United States Senator,,Write-In,Theo Brown Sr,0
Camden,United States Senator,,Write-In,David Kirk,0
Cape Girardeau,United States Senator,,Republican,Eric Schmitt,20511
Cape Girardeau,United States Senator,,Democratic,Trudy Busch Valentine,6650
Cape Girardeau,United States Senator,,Libertarian,Jonathan Dine,473
Cape Girardeau,United States Senator,,Constitution,Paul Venable,254
Cape Girardeau,United States Senator,,Write-In,Nathan V. Mooney,0
Cape Girardeau,United States Senator,,Write-In,Theo Brown Sr,0
Cape Girardeau,United States Senator,,Write-In,David Kirk,0
Carroll,United States Senator,,Republican,Eric Schmitt,2610
Carroll,United States Senator,,Democratic,Trudy Busch Valentine,685
Carroll,United States Senator,,Libertarian,Jonathan Dine,49
Carroll,United States Senator,,Constitution,Paul Venable,15
Carroll,United States Senator,,Write-In,Nathan V. Mooney,0
Carroll,United States Senator,,Write-In,Theo Brown Sr,0
Carroll,United States Senator,,Write-In,David Kirk,0
Carter,United States Senator,,Republican,Eric Schmitt,1578
Carter,United States Senator,,Democratic,Trudy Busch Valentine,298
Carter,United States Senator,,Libertarian,Jonathan Dine,26
Carter,United States Senator,,Constitution,Paul Venable,9
Carter,United States Senator,,Write-In,Nathan V. Mooney,0
Carter,United States Senator,,Write-In,Theo Brown Sr,0
Carter,United States Senator,,Write-In,David Kirk,0
Cass,United States Senator,,Republican,Eric Schmitt,24848
Cass,United States Senator,,Democratic,Trudy Busch Valentine,13927
Cass,United States Senator,,Libertarian,Jonathan Dine,744
Cass,United States Senator,,Constitution,Paul Venable,279
Cass,United States Senator,,Write-In,Nathan V. Mooney,0
Cass,United States Senator,,Write-In,Theo Brown Sr,0
Cass,United States Senator,,Write-In,David Kirk,1
Cedar,United States Senator,,Republican,Eric Schmitt,3962
Cedar,United States Senator,,Democratic,Trudy Busch Valentine,929
Cedar,United States Senator,,Libertarian,Jonathan Dine,149
Cedar,United States Senator,,Constitution,Paul Venable,109
Cedar,United States Senator,,Write-In,Nathan V. Mooney,0
Cedar,United States Senator,,Write-In,Theo Brown Sr,0
Cedar,United States Senator,,Write-In,David Kirk,0
Chariton,United States Senator,,Republican,Eric Schmitt,2083
Chariton,United States Senator,,Democratic,Trudy Busch Valentine,667
Chariton,United States Senator,,Libertarian,Jonathan Dine,38
Chariton,United States Senator,,Constitution,Paul Venable,25
Chariton,United States Senator,,Write-In,Nathan V. Mooney,0
Chariton,United States Senator,,Write-In,Theo Brown Sr,0
Chariton,United States Senator,,Write-In,David Kirk,0
Christian,United States Senator,,Republican,Eric Schmitt,24206
Christian,United States Senator,,Democratic,Trudy Busch Valentine,8070
Christian,United States Senator,,Libertarian,Jonathan Dine,720
Christian,United States Senator,,Constitution,Paul Venable,304
Christian,United States Senator,,Write-In,Nathan V. Mooney,0
Christian,United States Senator,,Write-In,Theo Brown Sr,0
Christian,United States Senator,,Write-In,David Kirk,0
Clark,United States Senator,,Republican,Eric Schmitt,1738
Clark,United States Senator,,Democratic,Trudy Busch Valentine,535
Clark,United States Senator,,Libertarian,Jonathan Dine,45
Clark,United States Senator,,Constitution,Paul Venable,31
Clark,United States Senator,,Write-In,Nathan V. Mooney,0
Clark,United States Senator,,Write-In,Theo Brown Sr,0
Clark,United States Senator,,Write-In,David Kirk,0
Clay,United States Senator,,Republican,Eric Schmitt,43210
Clay,United States Senator,,Democratic,Trudy Busch Valentine,41987
Clay,United States Senator,,Libertarian,Jonathan Dine,1593
Clay,United States Senator,,Constitution,Paul Venable,615
Clay,United States Senator,,Write-In,Nathan V. Mooney,0
Clay,United States Senator,,Write-In,Theo Brown Sr,0
Clay,United States Senator,,Write-In,David Kirk,0
Clinton,United States Senator,,Republican,Eric Schmitt,5147
Clinton,United States Senator,,Democratic,Trudy Busch Valentine,2219
Clinton,United States Senator,,Libertarian,Jonathan Dine,148
Clinton,United States Senator,,Constitution,Paul Venable,55
Clinton,United States Senator,,Write-In,Nathan V. Mooney,0
Clinton,United States Senator,,Write-In,Theo Brown Sr,0
Clinton,United States Senator,,Write-In,David Kirk,0
Cole,United States Senator,,Republican,Eric Schmitt,18289
Cole,United States Senator,,Democratic,Trudy Busch Valentine,9487
Cole,United States Senator,,Libertarian,Jonathan Dine,559
Cole,United States Senator,,Constitution,Paul Venable,197
Cole,United States Senator,,Write-In,Nathan V. Mooney,0
Cole,United States Senator,,Write-In,Theo Brown Sr,0
Cole,United States Senator,,Write-In,David Kirk,0
Cooper,United States Senator,,Republican,Eric Schmitt,4198
Cooper,United States Senator,,Democratic,Trudy Busch Valentine,1737
Cooper,United States Senator,,Libertarian,Jonathan Dine,120
Cooper,United States Senator,,Constitution,Paul Venable,73
Cooper,United States Senator,,Write-In,Nathan V. Mooney,0
Cooper,United States Senator,,Write-In,Theo Brown Sr,0
Cooper,United States Senator,,Write-In,David Kirk,0
Crawford,United States Senator,,Republican,Eric Schmitt,5822
Crawford,United States Senator,,Democratic,Trudy Busch Valentine,1610
Crawford,United States Senator,,Libertarian,Jonathan Dine,114
Crawford,United States Senator,,Constitution,Paul Venable,57
Crawford,United States Senator,,Write-In,Nathan V. Mooney,0
Crawford,United States Senator,,Write-In,Theo Brown Sr,0
Crawford,United States Senator,,Write-In,David Kirk,0
Dade,United States Senator,,Republican,Eric Schmitt,2395
Dade,United States Senator,,Democratic,Trudy Busch Valentine,501
Dade,United States Senator,,Libertarian,Jonathan Dine,64
Dade,United States Senator,,Constitution,Paul Venable,37
Dade,United States Senator,,Write-In,Nathan V. Mooney,0
Dade,United States Senator,,Write-In,Theo Brown Sr,0
Dade,United States Senator,,Write-In,David Kirk,0
