county,office,district,party,candidate,votes
Adair,U.S. Senate,,REP,Eric Schmitt,4423
Adair,U.S. Senate,,DEM,Trudy Busch Valentine,2460
Adair,U.S. Senate,,LIB,Jonathan Dine,149
Adair,U.S. Senate,,CON,Paul Venable,39
Andrew,U.S. Senate,,REP,Eric Schmitt,4885
Andrew,U.S. Senate,,DEM,Trudy Busch Valentine,1657
Andrew,U.S. Senate,,LIB,Jonathan Dine,135
Andrew,U.S. Senate,,CON,Paul Venable,50
Atchison,U.S. Senate,,REP,Eric Schmitt,1468
Atchison,U.S. Senate,,DEM,Trudy Busch Valentine,392
Atchison,U.S. Senate,,LIB,Jonathan Dine,32
Atchison,U.S. Senate,,CON,Paul Venable,18
Audrain,U.S. Senate,,REP,Eric Schmitt,5209
Audrain,U.S. Senate,,DEM,Trudy Busch Valentine,2069
Audrain,U.S. Senate,,LIB,Jonathan Dine,145
Audrain,U.S. Senate,,CON,Paul Venable,44
Audrain,U.S. Senate,,,Nathan V. Mooney,2
Barry,U.S. Senate,,REP,Eric Schmitt,8537
Barry,U.S. Senate,,DEM,Trudy Busch Valentine,2046
Barry,U.S. Senate,,LIB,Jonathan Dine,247
Barry,U.S. Senate,,CON,Paul Venable,143
Barton,U.S. Senate,,REP,Eric Schmitt,3654
Barton,U.S. Senate,,DEM,Trudy Busch Valentine,586
Barton,U.S. Senate,,LIB,Jonathan Dine,57
Barton,U.S. Senate,,CON,Paul Venable,29
Bates,U.S. Senate,,REP,Eric Schmitt,4227
Bates,U.S. Senate,,DEM,Trudy Busch Valentine,1362
Bates,U.S. Senate,,LIB,Jonathan Dine,125
Bates,U.S. Senate,,CON,Paul Venable,52
Benton,U.S. Senate,,REP,Eric Schmitt,5717
Benton,U.S. Senate,,DEM,Trudy Busch Valentine,1773
Benton,U.S. Senate,,LIB,Jonathan Dine,143
Benton,U.S. Senate,,CON,Paul Venable,95
Bollinger,U.S. Senate,,REP,Eric Schmitt,3589
Bollinger,U.S. Senate,,DEM,Trudy Busch Valentine,507
Bollinger,U.S. Senate,,LIB,Jonathan Dine,47
Bollinger,U.S. Senate,,CON,Paul Venable,25
Boone,U.S. Senate,,REP,Eric Schmitt,25940
Boone,U.S. Senate,,DEM,Trudy Busch Valentine,35608
Boone,U.S. Senate,,LIB,Jonathan Dine,1243
Boone,U.S. Senate,,CON,Paul Venable,318
Boone,U.S. Senate,,,Theo Brown Sr,1
Buchanan,U.S. Senate,,REP,Eric Schmitt,14828
Buchanan,U.S. Senate,,DEM,Trudy Busch Valentine,8884
Buchanan,U.S. Senate,,LIB,Jonathan Dine,574
Buchanan,U.S. Senate,,CON,Paul Venable,283
Butler,U.S. Senate,,REP,Eric Schmitt,9345
Butler,U.S. Senate,,DEM,Trudy Busch Valentine,1872
Butler,U.S. Senate,,LIB,Jonathan Dine,226
Butler,U.S. Senate,,CON,Paul Venable,76
Caldwell,U.S. Senate,,REP,Eric Schmitt,2588
